fecha,valor
2023-03-02 14:51:04,4874.563
2023-03-02 14:51:05,4874.5394
2023-03-02 14:51:06,4874.5145
2023-03-02 14:51:07,4874.4608
2023-03-02 14:52:00,4874.4479
2023-03-02 14:52:01,4874.4348
2023-03-02 14:52:02,4874.4214
2023-03-02 14:52:05,4874.3414
2023-03-02 14:52:07,4874.3282
2023-03-02 14:52:15,4874.3151
2023-03-02 14:52:21,4874.2891
2023-03-02 14:52:22,4873.9094
2023-03-02 14:52:26,4873.8955
2023-03-02 14:53:10,4873.8817
2023-03-02 14:53:11,4873.8679
2023-03-02 14:53:12,4873.854
2023-03-02 14:53:13,4873.7962
2023-03-02 14:53:15,4873.7668
2023-03-02 14:53:20,4873.5749
2023-03-02 14:53:21,4873.5601
2023-03-02 14:54:04,4873.5449
2023-03-02 14:54:05,4873.4831
2023-03-02 14:54:06,4873.4676
2023-03-02 14:54:07,4873.4521
2023-03-02 14:54:08,4873.388
2023-03-02 14:54:24,4873.3375
2023-03-02 14:54:26,4873.2861
2023-03-02 14:54:31,4873.1633
2023-03-02 14:54:32,4873.1067
2023-03-02 14:54:45,4873.0882
2023-03-02 14:55:16,4873.0702
2023-03-02 14:55:23,4873.0523
2023-03-02 14:55:44,4873.0343
2023-03-02 14:56:02,4873.0164
2023-03-02 14:56:05,4872.9985
2023-03-02 14:56:30,4872.9823
2023-03-02 14:56:34,4872.9661
2023-03-02 14:56:40,4872.9504
2023-03-02 14:57:08,4872.9344
2023-03-02 14:58:00,4872.9172
2023-03-02 14:59:14,4872.9026
2023-03-02 15:02:01,4872.8854
2023-03-02 15:02:02,4872.8682
2023-03-02 15:02:04,4872.851
2023-03-02 15:02:09,4872.8338
2023-03-02 15:02:10,4872.8167
2023-03-02 15:02:16,4872.7995
2023-03-02 15:02:21,4872.7824
2023-03-02 15:02:22,4872.5616
2023-03-02 15:03:24,4872.3805
2023-03-02 15:03:27,4872.3445
2023-03-02 15:03:28,4872.3077
2023-03-02 15:03:29,4872.2886
2023-03-02 15:03:49,4872.2715
2023-03-02 15:04:03,4872.2549
2023-03-02 15:04:41,4872.2397
2023-03-02 15:04:42,4872.2094
2023-03-02 15:04:44,4872.1792
2023-03-02 15:05:23,4872.1643
2023-03-02 15:06:58,4872.1357
2023-03-02 15:07:39,4872.1214
2023-03-02 15:08:07,4872.1071
2023-03-02 15:08:09,4872.0928
2023-03-02 15:08:47,4871.757
2023-03-02 15:08:49,4871.7457
2023-03-02 15:09:09,4871.7199
2023-03-02 15:09:31,4871.7082
2023-03-02 15:09:43,4871.6742
2023-03-02 15:09:46,4871.663
2023-03-02 15:09:47,4871.6406
2023-03-02 15:09:50,4871.6183
2023-03-02 15:09:53,4871.5849
2023-03-02 15:09:54,4871.5738
2023-03-02 15:10:41,4871.5629
2023-03-02 15:10:53,4871.5523
2023-03-02 15:11:03,4871.5437
2023-03-02 15:11:06,4871.5351
2023-03-02 15:11:07,4871.5274
2023-03-02 15:12:43,4871.5189
2023-03-02 15:12:44,4871.5105
2023-03-02 15:12:47,4871.5024
2023-03-02 15:14:41,4871.4925
2023-03-02 15:14:55,4871.472
2023-03-02 15:15:20,4871.4615
2023-03-02 15:15:22,4871.451
2023-03-02 15:19:06,4871.4171
2023-03-02 15:19:17,4871.4056
2023-03-02 15:19:19,4871.2805
2023-03-02 15:20:23,4871.2594
2023-03-02 15:20:46,4871.2496
2023-03-02 15:20:48,4871.2399
2023-03-02 15:20:49,4871.2204
2023-03-02 15:20:50,4871.1844
2023-03-02 15:21:08,4871.1447
2023-03-02 15:21:11,4871.0658
2023-03-02 15:22:27,4871.0334
2023-03-02 15:22:30,4871.0258
2023-03-02 15:22:31,4871.0181
2023-03-02 15:22:32,4871.0031
2023-03-02 15:22:33,4870.9956
2023-03-02 15:22:43,4870.9881
2023-03-02 15:22:45,4870.9732
2023-03-02 15:24:08,4870.9657
2023-03-02 15:24:09,4870.9516
2023-03-02 15:24:13,4870.9446
2023-03-02 15:24:14,4870.9307
2023-03-02 15:24:15,4870.9168
2023-03-02 15:24:16,4870.9039
2023-03-02 15:24:17,4870.8978
2023-03-02 15:24:19,4870.8916
2023-03-02 15:24:20,4870.8749
2023-03-02 15:24:53,4870.8576
2023-03-02 15:25:43,4870.8233
2023-03-02 15:28:49,4870.7892
2023-03-02 15:29:06,4870.7497
2023-03-02 15:29:09,4870.7431
2023-03-02 15:29:25,4870.7372
2023-03-02 15:29:52,4870.7013
2023-03-02 15:30:33,4870.6956
2023-03-02 15:30:35,4870.6848
2023-03-02 15:30:36,4870.6796
2023-03-02 15:30:37,4870.6743
2023-03-02 15:30:38,4870.6691
2023-03-02 15:30:51,4870.6587
2023-03-02 15:30:53,4870.6535
2023-03-02 15:31:00,4870.6483
2023-03-02 15:31:02,4870.6431
2023-03-02 15:34:04,4870.634
2023-03-02 15:34:06,4870.6261
2023-03-02 15:34:08,4870.6175
2023-03-02 15:34:12,4870.6085
2023-03-02 15:34:31,4870.5779
2023-03-02 15:40:04,4870.5089
2023-03-02 15:40:06,4870.4911
2023-03-02 15:40:12,4870.4819
2023-03-02 15:40:18,4870.4433
2023-03-02 15:40:19,4870.4041
2023-03-02 15:40:20,4870.3943
2023-03-02 15:40:21,4870.3845
2023-03-02 15:40:22,4870.362
2023-03-02 15:40:23,4870.3388
2023-03-02 15:40:26,4870.1495
2023-03-02 15:40:52,4870.1056
2023-03-02 15:41:19,4870.0946
2023-03-02 15:42:07,4870.0374
2023-03-02 15:42:08,4870.0258
2023-03-02 15:42:09,4870.0142
2023-03-02 15:42:11,4869.9679
2023-03-02 15:42:12,4869.9083
2023-03-02 15:42:13,4869.7262
2023-03-02 15:42:14,4869.7128
2023-03-02 15:42:40,4869.7008
2023-03-02 15:42:43,4869.6648
2023-03-02 15:42:52,4869.6529
2023-03-02 15:42:53,4869.6409
2023-03-02 15:42:54,4869.629
2023-03-02 15:42:57,4869.6175
2023-03-02 15:43:06,4869.606
2023-03-02 15:43:09,4869.5946
2023-03-02 15:43:14,4869.5831
2023-03-02 15:43:17,4869.5603
2023-03-02 15:45:15,4869.5194
2023-03-02 15:45:46,4869.5094
2023-03-02 15:45:48,4869.4994
2023-03-02 15:45:53,4869.4795
2023-03-02 15:46:20,4869.47
2023-03-02 15:46:25,4869.4606
2023-03-02 15:46:29,4869.4502
2023-03-02 15:46:48,4869.4394
2023-03-02 15:46:49,4869.4286
2023-03-02 15:46:59,4869.3866
2023-03-02 15:47:15,4869.3029
2023-03-02 15:47:18,4869.2931
2023-03-02 15:48:21,4869.2709
2023-03-02 15:48:29,4869.2491
2023-03-02 15:48:35,4869.238
2023-03-02 15:48:38,4869.2269
2023-03-02 15:48:39,4869.2159
2023-03-02 15:48:40,4869.1827
2023-03-02 15:48:41,4869.1712
2023-03-02 15:48:51,4869.1482
2023-03-02 15:49:00,4869.1253
2023-03-02 15:49:01,4869.1138
2023-03-02 15:49:02,4869.1024
2023-03-02 15:49:03,4869.0424
2023-03-02 15:49:04,4869.0301
2023-03-02 15:49:11,4868.9322
2023-03-02 15:49:17,4868.725
2023-03-02 15:49:18,4868.6734
2023-03-02 15:49:19,4868.6606
2023-03-02 15:49:20,4868.5837
2023-03-02 15:49:24,4868.4743
2023-03-02 15:49:29,4868.4467
2023-03-02 15:50:26,4868.4205
2023-03-02 15:50:29,4868.4074
2023-03-02 15:50:39,4868.3679
2023-03-02 15:50:40,4868.2872
2023-03-02 15:50:45,4868.2319
2023-03-02 15:50:46,4868.2181
2023-03-02 15:51:08,4868.1647
2023-03-02 15:51:10,4868.1093
2023-03-02 15:51:11,4868.0811
2023-03-02 15:51:12,4868.0384
2023-03-02 15:51:13,4867.9511
2023-03-02 15:51:15,4867.6981
2023-03-02 15:51:27,4867.5951
2023-03-02 15:51:39,4867.5781
2023-03-02 15:51:43,4867.5609
2023-03-02 15:53:58,4867.5439
2023-03-02 15:54:02,4867.3408
2023-03-02 15:54:03,4867.324
2023-03-02 15:54:04,4867.3071
2023-03-02 15:54:09,4867.2899
2023-03-02 15:54:10,4867.2725
2023-03-02 15:54:13,4867.237
2023-03-02 15:54:21,4867.2015
2023-03-02 15:54:23,4867.1837
2023-03-02 15:54:27,4867.0755
2023-03-02 15:56:06,4867.0387
2023-03-02 15:56:07,4866.9834
2023-03-02 15:58:44,4866.9101
2023-03-02 15:58:45,4866.8763
2023-03-02 15:59:46,4866.7281
2023-03-02 15:59:47,4866.6423
2023-03-02 15:59:52,4866.4915
2023-03-02 15:59:53,4866.2984
2023-03-02 15:59:54,4866.2604
2023-03-02 15:59:55,4866.2409
2023-03-02 16:00:16,4866.2063
2023-03-02 16:00:18,4866.1869
2023-03-02 16:00:42,4866.1687
2023-03-02 16:01:34,4866.0948
2023-03-02 16:01:35,4866.0211
2023-03-02 16:01:36,4865.8744
2023-03-02 16:01:40,4865.8566
2023-03-02 16:01:41,4865.8391
2023-03-02 16:01:42,4865.8056
2023-03-02 16:02:06,4865.7526
2023-03-02 16:03:29,4865.7346
2023-03-02 16:03:37,4865.6802
2023-03-02 16:04:15,4865.6617
2023-03-02 16:04:45,4865.6437
2023-03-02 16:04:47,4865.6257
2023-03-02 16:04:48,4865.5897
2023-03-02 16:04:50,4865.5718
2023-03-02 16:04:52,4865.5533
2023-03-02 16:05:02,4865.5346
2023-03-02 16:05:03,4865.385
2023-03-02 16:05:04,4865.3471
2023-03-02 16:05:09,4865.3285
2023-03-02 16:05:25,4865.3107
2023-03-02 16:05:38,4865.2917
2023-03-02 16:05:50,4865.1975
2023-03-02 16:06:05,4865.1604
2023-03-02 16:06:07,4865.0864
2023-03-02 16:06:13,4865.0495
2023-03-02 16:06:28,4865.0315
2023-03-02 16:07:07,4865.0139
